,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint george,0,GR,1562034588,72,39.45,22.34,75,0.69
1,taolanaro,,,,,,,,
2,ancud,40,CL,1562034870,93,-41.87,-73.83,37.4,5.82
3,nassau,0,AT,1562034588,82,46.81,15.34,69.01,1.12
4,georgetown,40,GY,1562034614,94,6.8,-58.16,77,2.24
5,qaanaaq,0,GL,1562034589,49,77.48,-69.36,48.34,8.34
6,lompoc,20,US,1562034589,72,34.64,-120.46,75,16.11
7,atuona,0,PF,1562034590,75,-9.8,-139.03,80.83,15.37
8,arraial do cabo,0,BR,1562034872,94,-22.97,-42.02,68,4.7
9,castro,40,CL,1562034872,93,-42.48,-73.76,37.4,5.82
10,requena,75,ES,1562034873,83,39.49,-1.1,77,3.36
11,punta arenas,40,CL,1562034873,80,-53.16,-70.91,35.6,10.29
12,ushuaia,90,AR,1562034873,93,-54.81,-68.31,37.4,4.7
13,sorland,94,NO,1562034591,67,67.67,12.69,46.2,5.93
14,muli,6,CN,1562034874,52,28.08,109.56,81.73,7.09
15,carnarvon,0,ZA,1562034874,89,-30.97,22.13,32.25,6.51
16,ahipara,16,NZ,1562034875,80,-35.17,173.16,61.84,14.36
17,yellowknife,75,CA,1562034593,76,62.45,-114.38,53.6,24.16
18,nikolskoye,20,RU,1562034875,77,59.7,30.79,61,8.95
19,zabaykalsk,23,CN,1562034875,30,49.64,117.33,79.44,12.28
20,albany,75,US,1562034610,53,42.65,-73.75,73.99,9.17
21,mareeba,90,AU,1562034876,64,-16.99,145.42,78.01,11.41
22,rikitea,100,PF,1562034594,71,-23.12,-134.97,69.25,16.37
23,nosy varika,98,MG,1562034876,89,-20.58,48.53,65.15,5.7
24,saint-georges,100,CA,1562034877,100,46.12,-70.67,66,1.01
25,poum,20,MK,1562034877,87,41.28,20.71,55.4,3.36
26,dunedin,74,NZ,1562034877,66,-45.87,170.5,53.01,15.01
27,taltal,100,CL,1562034878,83,-25.41,-70.49,50.25,1.81
28,phayao,100,TH,1562034597,97,19.17,99.9,68.93,2.28
29,pringsewu,94,ID,1562034878,74,-5.36,104.98,78.85,3.15
30,belushya guba,,,,,,,,
31,busselton,100,AU,1562034879,48,-33.64,115.35,64,6.53
32,cap malheureux,75,MU,1562034661,68,-19.98,57.61,71.6,17.22
33,hilo,75,US,1562034600,69,19.71,-155.08,80.6,14.99
34,provideniya,90,RU,1562034599,81,64.42,-173.23,48.2,11.18
35,vaini,75,IN,1562034600,100,15.34,74.49,71.6,5.82
36,agirish,87,RU,1562034880,57,61.92,63.02,69.43,9.8
37,high prairie,68,CA,1562034600,75,55.43,-116.48,53.18,8.46
38,pombas,0,BR,1562034881,52,-15.9,-54.74,67.04,2.91
39,kouango,100,CF,1562034601,95,4.99,19.98,70.21,2.62
40,sovetskiy,0,RU,1562034881,81,56.76,48.47,55.81,1.21
41,bethel,90,US,1562034881,100,60.79,-161.76,55.4,11.41
42,butaritari,82,KI,1562034882,70,3.07,172.79,84.75,8.81
43,cabo san lucas,5,MX,1562034779,57,22.89,-109.91,80.6,11.41
44,mataura,100,NZ,1562034882,74,-46.19,168.86,57,1.01
45,kapaa,20,US,1562034883,70,22.08,-159.32,84.2,10.29
46,nome,1,US,1562034883,88,30.04,-94.42,82.99,3.36
47,aklavik,90,CA,1562034883,93,68.22,-135.01,51.8,3.36
48,marcona,,,,,,,,
49,hobart,20,AU,1562034884,54,-42.88,147.33,53.6,26.4
50,hithadhoo,93,MV,1562034885,71,-0.6,73.08,83.37,6.96
51,vilyuysk,12,RU,1562034609,37,63.75,121.63,64.54,12.28
52,formoso do araguaia,,,,,,,,
53,chuy,0,UY,1562034886,81,-33.69,-53.46,42.18,12.19
54,sikasso,28,ML,1562034886,73,11.32,-5.68,76.44,4.97
55,sanming,77,CN,1562034611,67,26.24,117.6,85.44,7.9
56,cheremkhovo,59,RU,1562034887,49,53.15,103.07,75.99,14.56
57,ca mau,100,VN,1562034887,67,9.18,105.15,87.67,11.77
58,aksu,0,KZ,1562034679,63,52.04,76.93,66.2,11.18
59,gigmoto,100,PH,1562034888,75,13.78,124.39,82.54,17.2
60,barrow,100,AR,1562034612,44,-38.31,-60.23,50.16,18.28
61,san cristobal,0,HN,1562034888,93,14.68,-86.92,67.17,4.99
62,port alfred,0,ZA,1562034889,72,-33.59,26.89,53.01,3
63,vila velha,75,BR,1562034613,65,-3.71,-38.6,80.6,12.75
64,hermanus,79,ZA,1562034889,61,-34.42,19.24,60.01,14
65,kaitangata,100,NZ,1562034890,75,-46.28,169.85,52.46,4.07
66,tsihombe,,,,,,,,
67,new norfolk,20,AU,1562034890,54,-42.78,147.06,53.6,26.4
68,brae,32,GB,1562034890,87,60.4,-1.35,48.2,5.82
69,jalu,0,LY,1562034891,53,29.03,21.55,74.22,10.51
70,barentsburg,,,,,,,,
71,sajanan,0,TN,1562034616,50,37.06,9.24,75.2,9.17
72,ondangwa,0,NA,1562034892,13,-17.91,15.98,60.8,6.93
73,namibe,0,AO,1562034892,79,-15.19,12.15,67.65,11.63
74,le creusot,0,FR,1562034893,88,46.81,4.43,64.99,2.24
75,airai,64,TL,1562034894,50,-8.93,125.41,84.79,2.8
76,qingyuan,85,CN,1562034894,62,27.62,119.06,84.64,5.55
77,ghanzi,0,BW,1562034895,58,-21.7,21.65,37.77,6.93
78,honiara,75,SB,1562034895,79,-9.43,159.96,86,11.41
79,bredasdorp,28,ZA,1562034599,71,-34.53,20.04,60.01,9.17
80,lerwick,32,GB,1562034895,70,60.15,-1.15,48.2,11.41
81,port hedland,0,AU,1562034690,16,-20.31,118.58,78.8,14.99
82,mrirt,,,,,,,,
83,baghdad,0,IQ,1562034896,27,33.3,44.38,75.2,9.17
84,bengkulu,,,,,,,,
85,jujuy,,,,,,,,
86,east london,0,ZA,1562034798,55,-33.02,27.91,51.31,10.29
87,bemidji,1,US,1562034897,68,47.48,-94.89,75.2,3.44
88,saint anthony,1,US,1562034898,26,43.97,-111.68,80.6,6.93
89,veraval,0,FR,1562034898,93,49.65,0.71,55.4,3.36
90,havelock,1,US,1562034898,65,34.88,-76.9,80.6,4.7
91,solnechnyy,4,RU,1562034622,45,50.72,136.64,73.7,5.55
92,bambous virieux,75,MU,1562034899,68,-20.34,57.76,71.6,17.22
93,grand river south east,,,,,,,,
94,itoman,20,JP,1562034899,74,26.12,127.67,89.6,17.22
95,katsuura,75,JP,1562034899,83,33.93,134.5,77,6.93
96,leningradskiy,100,RU,1562034900,97,69.38,178.42,37.84,4.38
97,coihaique,90,CL,1562034900,98,-45.58,-72.07,37.4,5.82
98,jamestown,0,AU,1562034900,52,-33.21,138.6,56.2,5.41
99,khatanga,33,RU,1562034901,36,71.98,102.47,56.85,4.99
100,tlahualilo,,,,,,,,
101,svetlogorsk,90,RU,1562034902,100,53.14,59.15,59,4.47
102,alta gracia,0,AR,1562034903,40,-31.66,-64.43,53.6,13.87
103,cleburne,1,US,1562034903,94,32.35,-97.39,82.99,9.17
104,vostok,100,RU,1562034903,94,46.45,135.83,58.8,3.6
105,puerto quijarro,54,BO,1562034904,80,-19,-57.72,65.42,5.48
106,oussouye,76,SN,1562034627,86,12.49,-16.54,77.79,6.08
107,kerteh,,,,,,,,
108,kununurra,0,AU,1562034904,25,-15.77,128.74,84.2,13.87
109,schwedt,,,,,,,,
110,ponta do sol,0,BR,1562034905,64,-20.63,-46,61.03,2.8
111,manta,0,RO,1562034905,80,45.1,24.1,64.36,2.13
112,nizhniy kuranakh,100,RU,1562034906,41,58.84,125.49,76.99,3.44
113,saskylakh,77,RU,1562034906,55,71.97,114.09,48.93,14.41
114,waingapu,100,ID,1562034906,62,-9.65,120.26,81.35,13.13
115,kavaratti,100,IN,1562034630,77,10.57,72.64,83.46,21.03
116,kupang,20,ID,1562034907,48,-10.16,123.6,86,13.87
117,cape town,75,ZA,1562034710,93,-33.93,18.42,59,12.75
118,wilmington,1,US,1562034853,68,39.75,-75.55,73.99,3.36
119,puerto escondido,75,MX,1562034907,83,15.86,-97.07,82.4,3.36
120,mayumba,10,GA,1562034632,88,-3.44,10.65,71.09,6.38
121,lorengau,1,PG,1562034908,77,-2.02,147.27,82.75,6.91
122,bluff,100,AU,1562034908,44,-23.58,149.07,72.78,7.72
123,jiexiu,5,CN,1562034909,23,37.02,111.92,88.98,10.94
124,thompson,90,CA,1562034689,82,55.74,-97.86,55.4,10.29
125,talcahuano,75,CL,1562034909,93,-36.72,-73.12,44.6,6.93
126,jabiru,,,,,,,,
127,galgani,,,,,,,,
128,tucumcari,75,US,1562034910,30,35.17,-103.73,84.2,11.41
129,mwinilunga,96,ZM,1562034910,46,-11.73,24.43,50.84,5.14
130,viligili,,,,,,,,
131,jiangyou,66,CN,1562034636,56,31.78,104.73,78,3.94
132,balykshi,,,,,,,,
133,cottonwood,1,US,1562034637,14,34.74,-112.01,89.6,10.29
134,san patricio,100,PY,1562034912,91,-26.98,-56.83,50.95,3.09
135,eldikan,,,,,,,,
136,saint-louis,99,SN,1562034693,81,16.03,-16.5,72.44,9.17
137,jibuti,,,,,,,,
138,vetlanda,94,SE,1562034913,100,57.43,15.09,55.4,10.29
139,olafsvik,,,,,,,,
140,tasiilaq,93,GL,1562034913,85,65.61,-37.64,32.12,4.52
141,severo-kurilsk,100,RU,1562034913,92,50.68,156.12,44.95,6.44
142,codrington,44,AU,1562034639,68,-28.95,153.24,70,1.12
143,keskin,0,TR,1562034640,63,39.67,33.62,55.99,1.01
144,namatanai,76,PG,1562034914,86,-3.66,152.44,78.34,11.14
145,kollam,75,IN,1562034914,83,8.88,76.6,82.4,2.24
146,port elizabeth,1,US,1562034915,88,39.31,-74.98,75.2,3.36
147,kodiak,1,US,1562034915,42,39.95,-94.76,84,8.05
148,petropavlovsk-kamchatskiy,34,RU,1562034916,67,53.05,158.65,60.8,15.66
149,narsaq,100,GL,1562034916,87,60.91,-46.05,44.6,4.7
150,sao filipe,0,CV,1562034917,87,14.9,-24.5,73.11,21.34
151,ouadda,100,CF,1562034918,98,8.07,22.4,66.57,1.66
152,anadyr,20,RU,1562034918,71,64.73,177.51,57.2,20.13
153,saint-philippe,90,CA,1562034918,60,45.36,-73.48,75.99,11.41
154,elat,89,CM,1562034919,99,2.91,11.16,68.95,2.35
155,aden,0,YE,1562034919,63,12.79,45.03,88.28,5.86
156,verkhoyansk,97,RU,1562034919,53,67.55,133.39,55.83,9.84
157,sao joao da barra,0,BR,1562034645,80,-21.64,-41.05,68.8,3.8
158,hauterive,20,CA,1562034920,93,49.18,-68.27,53.6,2.24
159,cherskiy,92,RU,1562034919,65,68.75,161.3,52.12,6.38
160,yar-sale,0,RU,1562034646,58,66.83,70.83,74.58,14.65
161,lebu,75,ET,1562034652,93,8.96,38.73,57.2,4.7
162,saleaula,,,,,,,,
163,celestun,89,MX,1562034921,83,20.87,-90.4,82.05,23.76
164,naze,75,NG,1562034921,94,5.43,7.07,73.4,3.15
165,christchurch,100,NZ,1562034821,76,-43.53,172.64,59,3.36
166,tiksi,100,RU,1562034922,85,71.64,128.87,38.6,12.12
167,lagoa,0,PT,1562034785,64,37.14,-8.45,68,4.7
168,tilichiki,100,RU,1562034922,70,60.47,166.1,57.03,6.82
169,antalaha,7,MG,1562034923,94,-14.9,50.28,57.64,4.59
170,baishishan,0,CN,1562034923,56,43.58,127.55,73.12,8.28
171,ribeira grande,100,PT,1562034923,92,38.52,-28.7,68.59,9.64
172,hasaki,75,JP,1562034924,88,35.73,140.83,80.6,1.12
173,luderitz,0,NA,1562034924,71,-26.65,15.16,53.6,5.82
174,comodoro rivadavia,20,AR,1562034924,75,-45.87,-67.48,41,11.41
175,corinto,40,CO,1562034925,83,3.17,-76.26,71.6,4.7
176,buraydah,0,SA,1562034925,27,26.33,43.97,87.8,6.93
177,amderma,,,,,,,,
178,vaitupu,,,,,,,,
179,barbate,20,ES,1562034926,82,36.19,-5.92,69.8,8.05
180,kichmengskiy gorodok,0,RU,1562034926,76,59.99,45.81,54.06,5.79
181,broome,0,GB,1562034926,87,52.47,1.45,57,8.05
182,pacific grove,1,US,1562034653,67,36.62,-121.92,73.4,8.05
183,amalapuram,90,IN,1562034927,83,16.58,82,82.4,12.75
184,takoradi,97,GH,1562034927,92,4.89,-1.75,75.01,3.38
185,palmer,75,AU,1562034928,62,-34.85,139.16,57.99,8.05
186,yarada,75,IN,1562034928,74,17.65,83.27,84.2,10.29
187,arkansas city,1,US,1562034654,69,37.06,-97.04,82.99,5.82
188,ucluelet,75,CA,1562034929,82,48.94,-125.55,68,13.87
189,dolbeau,,,,,,,,
190,bafata,100,GW,1562034929,90,12.17,-14.67,76.11,5.03
191,coquimbo,0,CL,1562034930,87,-29.95,-71.34,48.2,4.7
192,seoul,75,KR,1562034669,57,37.57,126.98,80.6,3.36
193,bodden town,20,KY,1562034930,83,19.28,-81.25,84.2,9.17
194,atherton,90,AU,1562034930,64,-17.27,145.48,78.01,11.41
195,taoru,40,IN,1562034931,43,28.22,76.95,89.6,5.82
196,tevriz,0,RU,1562034931,57,57.51,72.4,70.12,4.81
197,phuket,40,TH,1562034827,66,7.89,98.4,87.8,5.82
198,san rafael,55,AR,1562034932,29,-34.61,-68.33,45.69,3.06
199,chiriqui grande,100,PA,1562034932,60,8.95,-82.12,60.01,5.99
200,puerto ayora,44,EC,1562034933,94,-0.74,-90.35,71.01,10.87
201,faanui,88,PF,1562034678,79,-16.48,-151.75,77.73,25.17
202,tuatapere,100,NZ,1562034660,74,-46.13,167.69,57,1.01
203,korla,,,,,,,,
204,mtambile,4,TZ,1562034934,79,-5.38,39.7,78.4,10.98
205,kruisfontein,1,ZA,1562034935,76,-34,24.73,46.25,8.25
206,kazalinsk,,,,,,,,
207,olinda,40,AU,1562034935,67,-37.84,145.39,61,12.75
208,lavrentiya,100,RU,1562034935,78,65.58,-170.99,46.03,13.69
209,aflu,,,,,,,,
210,vallenar,0,CL,1562034936,76,-28.58,-70.76,45.39,2.33
211,trairi,31,BR,1562034936,95,-3.28,-39.27,70.41,4.25
212,madang,100,CN,1562034937,71,35.32,102.79,54.84,3.51
213,maceio,0,BR,1562034937,94,-9.67,-35.74,69.8,1.12
214,olovyannaya,24,RU,1562034937,42,50.94,115.59,78.07,8.01
215,pitogo,100,PH,1562034938,82,13.79,122.09,81.26,11.41
216,bilibino,100,RU,1562034938,89,68.06,166.44,43.46,5.17
217,zhigansk,86,RU,1562034938,48,66.77,123.37,53.22,19.35
218,sitka,0,US,1562034938,65,37.17,-99.65,78.01,8.99
219,abu dhabi,0,AE,1562034939,84,24.47,54.37,87.8,6.93
220,dalvik,48,SE,1562034666,93,57.79,14.13,55,14.99
221,nyurba,99,RU,1562034666,42,63.29,118.35,69.22,8.79
222,maarianhamina,,,,,,,,
223,hofn,0,IS,1562034697,71,64.25,-15.21,31.65,13.11
224,mys shmidta,,,,,,,,
225,flinders,0,AU,1562034940,25,-34.58,150.85,66,11.41
226,salinas,1,US,1562034941,56,36.67,-121.66,71.01,13.87
227,tabas,0,IR,1562034941,27,33.6,56.92,86,2.24
228,uige,0,AO,1562034668,89,-7.61,15.06,61.1,1.21
229,starosubkhangulovo,100,RU,1562034941,99,53.1,57.43,52.6,6.29
230,amahai,73,ID,1562034942,88,-3.31,129,77.82,12.93
231,morondava,5,MG,1562034942,92,-20.3,44.28,73.3,11.48
232,fort nelson,40,CA,1562034669,30,58.81,-122.69,71.6,16.11
233,vigrestad,75,NO,1562034943,76,58.57,5.7,50,14.99
234,guerrero negro,0,MX,1562034670,74,27.97,-114.04,68.71,21.83
235,dikson,100,RU,1562034943,94,73.51,80.55,42.81,13.8
236,kudahuvadhoo,100,MV,1562034943,62,2.67,72.89,83.37,0.85
237,esperance,75,AU,1562034944,59,-33.86,121.89,60.8,10.29
238,slave lake,90,CA,1562034944,62,55.28,-114.77,55.4,23.04
239,santa fe,0,AR,1562034944,76,-31.62,-60.7,50,3
240,svetlaya,100,RU,1562034672,98,46.54,138.33,50.32,2.84
241,lethem,100,GY,1562034672,86,3.38,-59.8,75.95,6.17
242,monrovia,75,LR,1562034673,94,6.33,-10.8,77,6.58
243,marystown,100,CA,1562034945,95,47.17,-55.16,53.74,17.36
244,mar del plata,44,AR,1562034674,62,-46.43,-67.52,35.58,14.12
245,morro bay,1,US,1562034946,77,35.37,-120.85,87.01,6.93
246,itarema,0,BR,1562034946,90,-2.92,-39.92,72.46,4.74
247,chalon-sur-saone,0,FR,1562034946,72,46.78,4.85,66.2,9.17
248,bolungarvik,,,,,,,,
249,ugoofaaru,74,MV,1562034947,75,5.67,73,82.77,10.16
250,larsnes,35,NO,1562034948,70,62.2,5.58,46.4,13.87
251,derzhavinsk,98,KZ,1562034949,38,51.1,66.31,76.85,18.16
252,sorong,98,ID,1562034677,73,-0.86,131.25,83.96,4.45
253,fairbanks,90,US,1562034949,42,64.84,-147.72,68,12.75
254,hohhot,40,CN,1562034950,56,40.81,111.65,71.6,2.24
255,ostrovnoy,88,RU,1562034950,71,68.05,39.51,50.48,12.33
256,katobu,100,ID,1562034950,97,-4.94,122.53,72.78,4.85
257,longyearbyen,75,NO,1562034698,76,78.22,15.63,48.2,23.04
258,talnakh,0,RU,1562034734,59,69.49,88.39,60.8,4.47
259,gasa,95,BT,1562034680,69,27.91,89.73,47.02,4.68
260,buala,90,SB,1562034951,78,-8.15,159.59,81.94,3.67
261,warrington,0,GB,1562034953,76,53.39,-2.59,55.4,8.05
262,saint-francois,0,FR,1562034953,88,46.42,3.91,64.4,2.24
263,constitucion,40,MX,1562034954,42,23.99,-104.67,66.2,11.41
264,omboue,57,GA,1562034954,85,-1.57,9.26,72.85,15.37
265,macaubas,0,BR,1562034682,64,-13.02,-42.7,66.73,4.56
266,beringovskiy,98,RU,1562034954,73,63.05,179.32,52.42,6.11
267,el badari,,,,,,,,
268,aleksandrovskoye,0,RU,1562034955,72,56.74,85.39,64.4,8.95
269,baykit,0,RU,1562034683,25,61.68,96.39,87.63,7.11
270,san jose,20,HN,1562034683,61,14.25,-87.96,80.6,4.7
271,upernavik,4,GL,1562034956,80,72.79,-56.15,41.52,6.15
272,clyde river,1,CA,1562034664,75,70.47,-68.59,41,8.05
273,goderich,60,CA,1562034956,83,43.74,-81.71,75.99,12.26
274,quatre cocos,75,MU,1562034957,68,-20.21,57.76,71.6,17.22
275,pousat,,,,,,,,
276,los llanos de aridane,90,ES,1562034957,64,28.66,-17.92,71.6,17.22
277,avarua,38,CK,1562034957,57,-21.21,-159.78,75.2,14.99
278,ponta delgada,40,PT,1562034958,88,37.73,-25.67,66.2,1.12
279,sereflikochisar,0,TR,1562034686,61,38.94,33.54,54.64,10.89
280,torbay,90,CA,1562034958,100,47.66,-52.73,54,10.29
281,avera,1,US,1562034959,74,33.19,-82.53,82.99,6.24
282,panaba,0,MX,1562034900,72,21.28,-88.27,82.81,11.43
283,alihe,22,CN,1562034959,30,50.57,123.73,75.07,6.73
284,nizhneyansk,,,,,,,,
285,eyl,29,SO,1562034960,66,7.98,49.82,78.4,31.63
286,houston,1,US,1562034783,69,29.76,-95.37,84,3.36
287,turukhansk,48,RU,1562034960,47,65.8,87.96,69.38,11.79
288,port augusta,0,AU,1562034961,48,-32.49,137.76,62.6,2.24
289,illoqqortoormiut,,,,,,,,
290,grand gaube,75,MU,1562034961,68,-20.01,57.66,71.6,17.22
291,bay roberts,90,CA,1562034963,100,47.58,-53.28,54,10.29
292,lengshuitan,0,CN,1562034690,61,26.41,111.6,86.37,7.25
293,bollnas,96,SE,1562034963,69,61.35,16.39,45.35,12.37
294,lhuntshi,,,,,,,,
295,marawi,100,PH,1562034964,79,8,124.29,82.99,5.99
296,gayny,79,RU,1562034964,90,60.3,54.33,58.83,3.49
297,shubarshi,0,KZ,1562034965,61,48.59,57.19,60.65,16.58
298,fuxin,68,CN,1562034965,24,42.02,121.65,88.96,10.58
299,novobirilyussy,0,RU,1562034965,56,56.95,90.69,74.69,3.74
300,gat,30,SN,1562034967,88,14.69,-16.54,75.2,5.82
301,okoneshnikovo,0,RU,1562034967,69,54.84,75.08,65.87,4.81
302,saint-augustin,90,CA,1562034967,68,45.63,-73.98,75.99,5.82
303,souillac,0,FR,1562034968,68,45.6,-0.6,70,6.93
304,fare,75,PF,1562034968,78,-16.7,-151.02,76.87,26.8
305,griffith,0,AU,1562034968,62,-34.29,146.06,55.4,5.82
